DEVICE,X,Y,Z,TimeStamp
Invalid,NaN,NaN,NaN,89876371267
Invalid,NaN,NaN,NaN,89876374567
Invalid,NaN,NaN,NaN,89876399060
Invalid,NaN,NaN,NaN,89876402099
Invalid,NaN,NaN,NaN,89876405450
Invalid,NaN,NaN,NaN,89876408535
Invalid,NaN,NaN,NaN,89876773165
Invalid,NaN,NaN,NaN,89876776412
Invalid,NaN,NaN,NaN,89876779486
Invalid,NaN,NaN,NaN,89876781971
Invalid,NaN,NaN,NaN,89876784688
Invalid,NaN,NaN,NaN,89876787160
Invalid,NaN,NaN,NaN,89876789671
Invalid,NaN,NaN,NaN,89876792110
Invalid,NaN,NaN,NaN,89876795292
Invalid,NaN,NaN,NaN,89876798036
Invalid,NaN,NaN,NaN,89876800618
Invalid,NaN,NaN,NaN,89876803054
Invalid,NaN,NaN,NaN,89876805530
Invalid,NaN,NaN,NaN,89876808362
Invalid,NaN,NaN,NaN,89876811274
Invalid,NaN,NaN,NaN,89876814324
Invalid,NaN,NaN,NaN,89876818015
Invalid,NaN,NaN,NaN,89876820566
Invalid,NaN,NaN,NaN,89876823566
Invalid,NaN,NaN,NaN,89876826886
Invalid,NaN,NaN,NaN,89876830244
Invalid,NaN,NaN,NaN,89876832769
Invalid,NaN,NaN,NaN,89876835359
Invalid,NaN,NaN,NaN,89876838255
Invalid,NaN,NaN,NaN,89876842672
Invalid,NaN,NaN,NaN,89876848630
Invalid,NaN,NaN,NaN,89876851626
Invalid,NaN,NaN,NaN,89876854193
Invalid,NaN,NaN,NaN,89876856850
Invalid,NaN,NaN,NaN,89876859396
Invalid,NaN,NaN,NaN,89876862599
Invalid,NaN,NaN,NaN,89876865343
Invalid,NaN,NaN,NaN,89876868047
Invalid,NaN,NaN,NaN,89876871206
Invalid,NaN,NaN,NaN,89876874143
Invalid,NaN,NaN,NaN,89876877141
Invalid,NaN,NaN,NaN,89876880080
Invalid,NaN,NaN,NaN,89876882922
Invalid,NaN,NaN,NaN,89876885440
Invalid,NaN,NaN,NaN,89876888209
Invalid,NaN,NaN,NaN,89876890858
Invalid,NaN,NaN,NaN,89876894883
Invalid,NaN,NaN,NaN,89876898672
Invalid,NaN,NaN,NaN,89876901669
Invalid,NaN,NaN,NaN,89876904973
Invalid,NaN,NaN,NaN,89876908000
Invalid,NaN,NaN,NaN,89876912975
Invalid,NaN,NaN,NaN,89876916921
Invalid,NaN,NaN,NaN,89876920468
Invalid,NaN,NaN,NaN,89876925298
Invalid,NaN,NaN,NaN,89876929064
Invalid,NaN,NaN,NaN,89876932143
Invalid,NaN,NaN,NaN,89876935633
Invalid,NaN,NaN,NaN,89876938532
Invalid,NaN,NaN,NaN,89876941294
Invalid,NaN,NaN,NaN,89876943878
Invalid,NaN,NaN,NaN,89876946982
Invalid,NaN,NaN,NaN,89876949727
Invalid,NaN,NaN,NaN,89876952757
Invalid,NaN,NaN,NaN,89876955396
Invalid,NaN,NaN,NaN,89876958091
Invalid,NaN,NaN,NaN,89876961713
Invalid,NaN,NaN,NaN,89876964629
Invalid,NaN,NaN,NaN,89876967300
Invalid,NaN,NaN,NaN,89876970132
Invalid,NaN,NaN,NaN,89876972876
Invalid,NaN,NaN,NaN,89876975393
Invalid,NaN,NaN,NaN,89876978199
Invalid,NaN,NaN,NaN,89876980945
Invalid,NaN,NaN,NaN,89876987833
Invalid,NaN,NaN,NaN,89876995015
Invalid,NaN,NaN,NaN,89877003238
Invalid,NaN,NaN,NaN,89877011552
Invalid,NaN,NaN,NaN,89877019837
Invalid,NaN,NaN,NaN,89877028023
Invalid,NaN,NaN,NaN,89877037829
Invalid,NaN,NaN,NaN,89877044855
Invalid,NaN,NaN,NaN,89877052704
Invalid,NaN,NaN,NaN,89877061507
Invalid,NaN,NaN,NaN,89877070204
Invalid,NaN,NaN,NaN,89877079230
Invalid,NaN,NaN,NaN,89877086528
Invalid,NaN,NaN,NaN,89877094682
Invalid,NaN,NaN,NaN,89877102391
Invalid,NaN,NaN,NaN,89877111529
Invalid,NaN,NaN,NaN,89877119876
Invalid,NaN,NaN,NaN,89877129165
Invalid,NaN,NaN,NaN,89877137690
Invalid,NaN,NaN,NaN,89877144780
Invalid,NaN,NaN,NaN,89877152291
Invalid,NaN,NaN,NaN,89877161438
Invalid,NaN,NaN,NaN,89877169779
Invalid,NaN,NaN,NaN,89877177422
Invalid,NaN,NaN,NaN,89877186587
Invalid,NaN,NaN,NaN,89877194879
Invalid,NaN,NaN,NaN,89877202440
Invalid,NaN,NaN,NaN,89877211634
Invalid,NaN,NaN,NaN,89877219801
Invalid,NaN,NaN,NaN,89877227327
Invalid,NaN,NaN,NaN,89877236641
Invalid,NaN,NaN,NaN,89877244770
Invalid,NaN,NaN,NaN,89877252404
Invalid,NaN,NaN,NaN,89877261585
Invalid,NaN,NaN,NaN,89877270087
Invalid,NaN,NaN,NaN,89877277240
Invalid,NaN,NaN,NaN,89877286326
Invalid,NaN,NaN,NaN,89877294737
Invalid,NaN,NaN,NaN,89877302343
Invalid,NaN,NaN,NaN,89877311802
Invalid,NaN,NaN,NaN,89877319893
Invalid,NaN,NaN,NaN,89877329298
Invalid,NaN,NaN,NaN,89877336515
Invalid,NaN,NaN,NaN,89877345491
Invalid,NaN,NaN,NaN,89877354565
Invalid,NaN,NaN,NaN,89877361369
Invalid,NaN,NaN,NaN,89877369679
Invalid,NaN,NaN,NaN,89877378199
Invalid,NaN,NaN,NaN,89877386706
Invalid,NaN,NaN,NaN,89877395055
Invalid,NaN,NaN,NaN,89877404383
Invalid,NaN,NaN,NaN,89877411507
Invalid,NaN,NaN,NaN,89877420190
Invalid,NaN,NaN,NaN,89877428071
Valid,-121.759,38.21975,596.6545,89877438262
Invalid,NaN,NaN,NaN,89877446436
Invalid,NaN,NaN,NaN,89877453244
Valid,-119.6776,39.20315,596.9779,89877463453
Valid,-118.8473,39.16209,597.1801,89877469941
Valid,-117.9009,38.94118,597.3174,89877480917
Valid,-117.0807,39.18086,597.4536,89877489893
Valid,-116.406,38.99926,597.6334,89877496521
Valid,-115.4757,38.77813,597.3291,89877503363
Valid,-116.1843,39.7472,605.4446,89877511732
Valid,-115.2602,39.46776,603.7305,89877519966
Invalid,NaN,NaN,NaN,89877528206
Valid,-113.508,39.36654,601.2578,89877536903
Valid,-113.0955,39.26928,601.5402,89877544982
Invalid,NaN,NaN,NaN,89877553351
Valid,-111.885,39.41427,600.4498,89877561875
Valid,-111.4248,39.17945,599.5909,89877569932
Invalid,NaN,NaN,NaN,89877578282
Valid,-110.5797,39.24182,598.9625,89877586800
Valid,-110.3266,39.11522,598.5744,89877594885
Invalid,NaN,NaN,NaN,89877611787
Valid,-109.7384,39.2345,598.1957,89877615118
Valid,-109.5974,39.0172,597.9435,89877620243
Invalid,NaN,NaN,NaN,89877628477
Valid,-109.1459,39.14588,597.5444,89877637011
Valid,-108.7248,38.86618,595.2549,89877645233
Valid,-108.5618,38.62271,595.2468,89877653556
Valid,-108.398,38.90729,595.1985,89877661874
Valid,-110.724,39.66415,609.3934,89877670380
Valid,-111.1247,39.72823,612.5411,89877678535
Valid,-111.6294,40.25129,616.0226,89877687130
Valid,-111.028,39.88073,612.5406,89877694974
Valid,-111.2932,39.88445,614.5339,89877703706
Valid,-111.2614,40.10843,614.699,89877711907
Valid,-111.1174,39.85636,613.8073,89877720034
Valid,-111.1404,39.82131,613.9432,89877728496
Invalid,NaN,NaN,NaN,89877736714
Valid,-111.3467,40.13653,615.197,89877744930
Valid,-111.4071,40.06849,615.3438,89877753538
Invalid,NaN,NaN,NaN,89877761738
Invalid,NaN,NaN,NaN,89877842826
Invalid,NaN,NaN,NaN,89877846434
Invalid,NaN,NaN,NaN,89877849582
Invalid,NaN,NaN,NaN,89877852991
Invalid,NaN,NaN,NaN,89877855874
Invalid,NaN,NaN,NaN,89877859187
Invalid,NaN,NaN,NaN,89877862694
Invalid,NaN,NaN,NaN,89877866063
Invalid,NaN,NaN,NaN,89877869517
Invalid,NaN,NaN,NaN,89877872596
Invalid,NaN,NaN,NaN,89877875915
Invalid,NaN,NaN,NaN,89877879097
Invalid,NaN,NaN,NaN,89877882318
Invalid,NaN,NaN,NaN,89877885521
Invalid,NaN,NaN,NaN,89877888507
Invalid,NaN,NaN,NaN,89877891450
Invalid,NaN,NaN,NaN,89877898922
Invalid,NaN,NaN,NaN,89877907512
Invalid,NaN,NaN,NaN,89877915618
Invalid,NaN,NaN,NaN,89877923868
Invalid,NaN,NaN,NaN,89877932554
Invalid,NaN,NaN,NaN,89877940747
Invalid,NaN,NaN,NaN,89877948950
Invalid,NaN,NaN,NaN,89877957916
Invalid,NaN,NaN,NaN,89877965724
Invalid,NaN,NaN,NaN,89877973845
Invalid,NaN,NaN,NaN,89877982865
Invalid,NaN,NaN,NaN,89877990897
Invalid,NaN,NaN,NaN,89877998934
Invalid,NaN,NaN,NaN,89878007502
Invalid,NaN,NaN,NaN,89878015771
Invalid,NaN,NaN,NaN,89878023896
Invalid,NaN,NaN,NaN,89878032325
Invalid,NaN,NaN,NaN,89878040526
Invalid,NaN,NaN,NaN,89878048929
Invalid,NaN,NaN,NaN,89878057465
Invalid,NaN,NaN,NaN,89878065526
Invalid,NaN,NaN,NaN,89878073844
Invalid,NaN,NaN,NaN,89878082427
