DEVICE,X,Y,Z,TimeStamp
Invalid,NaN,NaN,NaN,4436338821
Invalid,NaN,NaN,NaN,4436342100
Invalid,NaN,NaN,NaN,4436345276
Invalid,NaN,NaN,NaN,4436353503
Invalid,NaN,NaN,NaN,4436458682
Invalid,NaN,NaN,NaN,4436462576
Invalid,NaN,NaN,NaN,4436464995
Invalid,NaN,NaN,NaN,4436468021
Invalid,NaN,NaN,NaN,4436470478
Invalid,NaN,NaN,NaN,4436473063
Invalid,NaN,NaN,NaN,4436475665
Invalid,NaN,NaN,NaN,4436478178
Invalid,NaN,NaN,NaN,4436481335
Invalid,NaN,NaN,NaN,4436483919
Invalid,NaN,NaN,NaN,4436486275
Valid,-96.77768,20.7237,488.8879,4436488850
Valid,-96.66022,20.53547,488.844,4436491663
Valid,-96.63548,20.73603,488.843,4436494332
Invalid,NaN,NaN,NaN,4436502212
Invalid,NaN,NaN,NaN,4436505065
Invalid,NaN,NaN,NaN,4436508656
Valid,-96.71809,20.75751,488.897,4436511959
Invalid,NaN,NaN,NaN,4436516924
Valid,-96.5767,20.80498,488.8505,4436525003
Valid,-96.69442,20.75397,488.9014,4436529484
Invalid,NaN,NaN,NaN,4436537376
Valid,-97.83974,21.06284,495.9593,4436545969
Valid,-98.93423,21.2523,501.6883,4436556752
Invalid,NaN,NaN,NaN,4436564923
Valid,-100.3344,21.684,510.0142,4436572763
Valid,-100.4775,21.70802,511.269,4436580492
Invalid,NaN,NaN,NaN,4436588091
Valid,-100.6535,21.79042,513.3823,4436596539
Valid,-100.927,21.74339,514.7996,4436604947
Invalid,NaN,NaN,NaN,4436613006
Valid,-101.3945,21.78788,517.538,4436621682
Valid,-101.6218,21.80096,518.8315,4436631925
Invalid,NaN,NaN,NaN,4436640189
Valid,-102.0197,21.9826,521.0025,4436646527
Valid,-102.2078,22.03418,522.1381,4436654646
Invalid,NaN,NaN,NaN,4436662908
Invalid,NaN,NaN,NaN,4436671278
Valid,-102.6662,22.16601,524.6779,4436679464
Invalid,NaN,NaN,NaN,4436687633
Valid,-102.8711,22.20454,525.6846,4436696537
Valid,-102.9005,22.18047,526.0549,4436707062
Invalid,NaN,NaN,NaN,4436714776
Invalid,NaN,NaN,NaN,4436723605
Valid,-102.9717,22.17625,526.4671,4436731799
Invalid,NaN,NaN,NaN,4436739791
Invalid,NaN,NaN,NaN,4436747113
Valid,-102.9409,22.08821,526.4895,4436756605
Invalid,NaN,NaN,NaN,4436763802
Invalid,NaN,NaN,NaN,4436772332
Valid,-102.8816,21.97226,526.3164,4436780539
Valid,-102.7334,21.93512,526.2076,4436788667
Invalid,NaN,NaN,NaN,4436797373
Valid,-102.8287,22.11854,526.1553,4436805628
Valid,-102.669,22.05721,526.0623,4436813604
Invalid,NaN,NaN,NaN,4436822198
Valid,-102.7492,22.07286,526.0741,4436830494
Valid,-102.6119,21.92851,525.9716,4436838780
Valid,-102.7421,22.02527,525.9336,4436847411
Valid,-102.6954,21.97921,525.9951,4436855589
Invalid,NaN,NaN,NaN,4436863664
Invalid,NaN,NaN,NaN,4436872250
Valid,-102.5919,21.90011,525.8096,4436880474
Invalid,NaN,NaN,NaN,4436888767
Valid,-102.5272,21.8505,525.4849,4436897349
Valid,-102.4678,21.81798,525.4321,4436905647
Invalid,NaN,NaN,NaN,4436913598
Valid,-102.3779,21.8557,524.9867,4436922419
Valid,-102.0286,21.8019,523.27,4436930445
Invalid,NaN,NaN,NaN,4436938467
Valid,-101.5232,21.66045,521.9467,4436947357
Valid,-101.2122,21.45554,521.8776,4436955459
Invalid,NaN,NaN,NaN,4436963535
Valid,-99.88368,20.79475,518.2664,4436972519
Valid,-100.0687,20.6428,520.5133,4436980604
Valid,-100.0029,20.43559,521.2644,4436988805
Valid,-100.5299,20.50813,525.2157,4436997434
Valid,-101.0859,20.57,528.7044,4437005710
Valid,-101.0811,20.51214,528.8083,4437013887
Valid,-101.7211,20.63161,532.4703,4437022551
Valid,-102.33,20.73339,536.5037,4437030494
Valid,-102.5163,20.7568,538.2331,4437038823
Valid,-102.255,20.72436,536.491,4437047601
Valid,-101.4977,20.59536,532.7233,4437055693
Valid,-101.7926,20.71948,535.0515,4437063968
Valid,-101.3896,20.73462,532.8041,4437072467
Valid,-101.4124,20.78921,533.6096,4437080910
Valid,-101.4022,20.8164,534.3078,4437088862
Valid,-101.4806,20.83664,534.7986,4437097787
Valid,-101.4234,20.7879,535.1066,4437105694
Valid,-101.2713,20.74023,535.0845,4437114035
Valid,-101.2442,20.71908,534.915,4437122977
Valid,-101.042,20.66753,534.9865,4437130737
Valid,-100.759,20.64165,535.1039,4437139040
Valid,-100.698,20.69346,535.1976,4437147988
Valid,-100.5667,20.7402,535.3248,4437156015
Valid,-100.4775,20.77059,535.2864,4437164243
Valid,-100.5204,20.83278,535.2664,4437173019
Valid,-100.3437,20.8427,534.8727,4437181113
Valid,-100.2375,20.82672,534.7795,4437189184
Valid,-100.274,20.8488,534.714,4437197802
Valid,-100.1733,20.84151,534.7008,4437206105
Valid,-100.0716,20.818,534.5793,4437214225
Valid,-100.1116,20.83946,534.5071,4437222884
Valid,-100.03,20.84773,534.5279,4437231274
Valid,-99.93063,20.84351,534.435,4437239243
Valid,-99.99373,20.84455,534.3837,4437248141
Valid,-99.90556,20.86827,534.3992,4437257931
Valid,-99.80527,20.83886,534.3089,4437266635
Valid,-99.84461,20.84964,534.2668,4437273168
Valid,-99.77156,20.82747,534.3055,4437279811
Valid,-99.69683,20.78373,534.2252,4437288140
Valid,-99.74799,20.82676,534.2026,4437296447
Valid,-99.74842,20.90709,534.2211,4437304272
Valid,-99.8785,21.07209,534.1147,4437313050
Valid,-100.198,21.35071,534.3067,4437321596
Valid,-100.3457,21.54153,534.2723,4437329501
Valid,-100.4475,21.71367,534.1528,4437338007
Valid,-100.6536,21.84797,534.0779,4437347140
Valid,-100.6892,21.8612,534.0917,4437354316
Valid,-100.6081,21.83478,534.0175,4437362987
Valid,-100.76,21.84529,534.0087,4437371640
Valid,-100.6972,21.80215,533.9742,4437379498
Valid,-100.5941,21.75822,533.8725,4437388007
Valid,-100.6471,21.74353,533.3456,4437396552
Valid,-100.5129,21.7022,532.7862,4437404506
Valid,-100.2943,21.68044,532.0236,4437413094
Valid,-100.2717,21.68105,531.2163,4437421551
Valid,-100.1338,21.66731,530.6288,4437429447
Valid,-100.0349,21.66418,530.452,4437437957
Valid,-100.1465,21.68941,530.2717,4437446674
Valid,-100.1281,21.67206,530.1599,4437454364
Valid,-100.1007,21.60122,529.9166,4437462928
Valid,-100.3044,21.57721,529.7,4437471528
Valid,-100.4388,21.51931,529.5614,4437479379
Valid,-100.5763,21.47056,528.8218,4437487974
Invalid,NaN,NaN,NaN,4437496009
Invalid,NaN,NaN,NaN,4437504328
